subject,pk_100,ck_100,pk_gain,ck_gain,pk_gain_c,ck_gain_c,high_ck_pre,high_pk_pre,high_pk_gain,high_ck_gain,high_pk_gain_c,high_ck_gain_c,intercept,learning_rate,high_learning_rate,high_intercept
Stu_f7e62ea1af2c97a904bc4a3ae868f74e,1,0.75,1,0.5,1,0.5,0,1,1,1,1,1,0.055514289158533306,5.008034341754855e-4,1,1
Stu_eb2a7f36ff4c28fde56fed33d268135a,1,0.6875,1,-0.25,1,-0.08333333333333333,1,1,1,0,1,0,0.06048599128239185,5.456539678861056e-4,1,1
Stu_03cbefeff126eab919081d0a505555d0,0,0.75,0,0,0,0,1,0,0,0,0,0,-0.3586633191805983,-0.0032355601536295966,0,0
Stu_8d26db6f4c2dd9da002183a64558fcdd,0,0.375,-0.6666666666666666,0.09090909090909091,-1,0.09090909090909091,0,0,0,1,0,1,0.02839926027543011,2.561943472492911e-4,1,1
Stu_27cfb2841bdff6488f7cae13eb0a639a,0.6,0.5625,0.3333333333333333,0,0.3333333333333333,0,0,0,1,0,1,0,0.02613235479340351,2.357442240907629e-4,1,1
Stu_d7b6e648a3287812de902d4dfac4440a,0,0.5,0,-0.3333333333333333,0,-0.2,0,0,0,0,0,0,0.02920373269667909,2.634516238418174e-4,1,1
Stu_47e37d641fad4ab9416bd86de5e2eea2,0.6,0.5625,0.6,-0.75,0.6,-0.25,1,0,1,0,1,0,0.05952265146991848,5.369635227110461e-4,1,1
Stu_ac964194a0201c04b42b142960040200,0.6,0.5,0.5,-0.3333333333333333,0.5,-0.2,0,0,1,0,1,0,0.024153544971159815,2.178930587497131e-4,0,0
Stu_86d7cb3153651b145f14829a163b0ac1,0,0.25,-0.6666666666666666,-0.5,-1,-0.5,0,0,0,0,0,0,0.045574247573313534,4.1113270187970836e-4,1,1
Stu_064567c1ccf2d7da2dfbcd94e7bb57a9,0,0.5,0,0.1111111111111111,0,0.1111111111111111,0,0,0,1,0,1,0.0319624820093229,2.8833875021491815e-4,1,1
Stu_6466e4e9cb03bf7076ca3411270dbfae,0,0.6875,0,0.2857142857142857,0,0.2857142857142857,0,0,0,1,0,1,0.011874009618169427,1.0711737256024879e-4,0,0
Stu_aae2a43492c8c80638eb0515ca368e94,0,0.625,0,0.14285714285714285,0,0.14285714285714285,0,0,0,1,0,1,0.028399260275429782,2.561943472492882e-4,1,1
Stu_705e9dc238cbbc0c9ad6ccf272c96e30,0.4,0.375,-0.5,-0.42857142857142855,-0.3333333333333333,-0.3333333333333333,0,1,0,0,0,0,0.012584140851864744,1.1352358195138937e-4,0,0
Stu_ba951cf2152bd6ac94048394deae348f,1,0.75,NA,0,0,0,1,1,NA,0,0,0,0.05952265146991848,5.369635227110461e-4,1,1
Stu_b0f953b46e84d968213f6047decc9f26,1,0.75,NA,0.2,0,0.2,1,1,NA,1,0,1,0.04301336882134583,3.8803059802623014e-4,1,1
Stu_f1ac111cc6b87cb28e6543304996af04,0.6,0.75,0,0,0,0,1,1,0,0,0,0,0.03284727606502697,2.9632062133947253e-4,1,1
Stu_c992081215add82db72899753ca5216a,1,0.625,1,0.25,1,0.25,0,1,1,1,1,1,0.041372005850331545,3.7322359562969346e-4,1,1
