"","sums"
"Moving",0.0578247096092925
"Stopping",0.0381414994720169
"Talking",0.0255966209081309
"Monitoring",0.00228088701161563
"Incorrect_attempt",0.1129883843717
"Correct_attempt",0.570095036958817
"Raising_hand",0.00447729672650475
"Hint_request",0.161309398099261
"Gaming_State",0.0115311510031679
"Misuse_State",0.0070960929250264
"Idle_State",0.00380147835269271
"Inactive",0.00270327349524815
"Questioning",0.000591341077085533
"Struggle_State",0.00156282998944034
