anon_student_id,diagram_use,proactive_use,symbolic_incorrect_rate,diagram_incorrect_rate,hint_use,proactive_use_proportion,reactive_use,reactive_use_proportion,condition,school,class,grade,ck_pre,ck_td_pre,ck,ck_td,survey_pre,survey_ave,pk_pre,pk_td_pre,pk,pk_td,transfer_duse,transfer_eq,transfer_solve,transfer_sum,problems_solved,ck_lg,pk_lg
kinddeer,0.48484848484848486,0.3333333333333333,0.6363636363636364,0.5384615384615384,0.24242424242424243,0.6874999999999999,0.15151515151515155,0.31250000000000006,N,B,5B,5,5,3,10,1,1,2.4,0,0,1,0,0,0,0,0,13,0.45454545454545453,0.2
kinddog,0.6666666666666666,0.3333333333333333,0.11494252873563218,0.09482758620689656,0.02298850574712643,0.5,0.3333333333333333,0.5,N,B,5B,5,12,2,8,1,2,4.2,1,1,2,1,1,0,0,0,46,-1,0.25
kinddonkey,0.03448275862068965,0.02298850574712643,0.05747126436781609,0.11475409836065574,0.06896551724137931,0.6666666666666666,0.01149425287356321,0.3333333333333333,N,B,7H,7,8,1,9,2,3.8,3.6,5,2,5,2,1,1,0,1,46,0.125,NA
kinddragon,0.6931818181818182,0.32954545454545453,0.4659090909090909,0.15833333333333333,0,0.4754098360655737,0.3636363636363637,0.5245901639344263,N,B,6A,6,8,1,9,2,1.8,3,1,0,1,1,1,0,0,0,46,0.125,0
kindduck,0.04597701149425287,0.01149425287356321,0.26436781609195403,0.14754098360655735,0.01149425287356321,0.25,0.03448275862068965,0.75,N,B,6A,6,9,3,9,1,4.2,1.6,3,1,5,2,0,0,0,0,46,0,1
kindemu,0.01149425287356321,0,0.01149425287356321,0.08333333333333333,0.08045977011494253,0,0.01149425287356321,1,N,B,7H,7,7,1,8,2,5,5,5,2,5,2,0,0,0,0,46,0.1111111111111111,NA
kindfish,0,0,0.04794520547945205,0,0.03424657534246575,NA,0,NA,N,B,6A,6,10,1,11,1,1.2,1.4,2,0,3,0,0,0,0,0,40,0.16666666666666666,0.3333333333333333
kindfox,0.6666666666666666,0.3103448275862069,0.22988505747126436,0.1623931623931624,0.04597701149425287,0.4655172413793104,0.3563218390804597,0.5344827586206896,N,B,6A,6,5,2,11,2,2.8,3.6,4,2,5,2,1,0,0,0,46,0.5454545454545454,1
kindfrog,0.01149425287356321,0.01149425287356321,0.02298850574712643,0.13333333333333333,0,1,0,0,N,B,7H,7,15,3,13,3,3,3.2,5,2,5,2,0,0,1,1,46,-2,NA
kindgoose,0.3448275862068966,0.3103448275862069,0.05747126436781609,0.05617977528089887,0,0.9,0.03448275862068967,0.10000000000000003,N,B,6B,6,11,1,13,1,2.8,3.8,5,2,5,2,1,0,0,0,46,0.4,NA
kindjellyfish,0.01136363636363636,0.01136363636363636,0.03409090909090909,0.03278688524590164,0.03409090909090909,1,0,0,N,B,8G,8,12,2,11,1,2.8,3.2,5,2,5,2,1,0,0,0,46,-0.25,NA
kindlion,0.3058823529411765,0.21176470588235297,0.04705882352941176,0.09411764705882351,0,0.6923076923076923,0.09411764705882356,0.30769230769230776,N,B,6B,6,8,1,8,1,4.2,4.8,1,0,5,2,1,0,0,0,28,0,1
kindpanda,0.01149425287356321,0.01149425287356321,0.05747126436781609,0.13114754098360656,0,1,0,0,N,B,8H,8,14,2,13,1,1,1,2,1,5,2,0,0,0,0,46,-0.5,1
nicealpaca,0.19801980198019803,0.1188118811881188,1.0495049504950495,0.40298507462686567,2.4752475247524752,0.6,0.07920792079207922,0.4000000000000001,Y,B,5A,5,10,2,15,2,2.6,3.6,0,0,1,0,1,0,0,0,24,0.8333333333333334,0.2
niceant,0.5252525252525253,0.31313131313131315,1.2424242424242424,0.08620689655172414,0.42424242424242425,0.5961538461538461,0.21212121212121215,0.40384615384615385,Y,B,5A,5,6,1,7,1,2.4,3.8,2,0,0,0,1,0,0,0,28,0.1,-0.6666666666666666
nicebear,0.5617977528089888,0.25842696629213485,0.29213483146067415,0.4128440366972478,0.8314606741573034,0.46,0.30337078651685395,0.54,Y,B,5A,5,12,1,10,1,3.6,3.2,1,0,1,0,1,0,0,0,47,-0.5,0
nicebee,0.19540229885057472,0.19540229885057472,0.11494252873563218,0.3026315789473684,0,1,0,0,Y,B,5A,5,10,1,14,1,2.8,3.4,4,2,5,2,1,1,1,2,47,0.6666666666666666,1
nicebird,0.4367816091954023,0.3103448275862069,0.1264367816091954,0.25773195876288657,0,0.7105263157894737,0.1264367816091954,0.2894736842105263,Y,B,5B,5,6,1,9,1,3.6,4.4,0,0,1,0,1,0,0,0,47,0.3,0.2
nicebison,0.4520547945205479,0.3424657534246575,0.3424657534246575,0.075,0.3150684931506849,0.7575757575757576,0.1095890410958904,0.24242424242424243,Y,B,5B,5,10,2,5,1,2.8,4.2,0,0,0,0,1,0,0,0,24,-0.8333333333333334,0
nicebobcat,0.125,0.08653846153846154,0.2403846153846154,0.42857142857142855,1.5673076923076923,0.6923076923076923,0.03846153846153846,0.3076923076923077,Y,B,7G,7,13,2,10,1,4,4.4,1,1,4,2,1,0,0,0,23,-1,0.75
nicecat,0.04651162790697674,0.01162790697674418,0.13953488372093023,0.1935483870967742,0,0.25,0.03488372093023256,0.75,Y,B,5B,5,13,1,14,1,2.6,2.8,3,1,3,2,0,0,0,0,47,0.3333333333333333,0
nicecoyote,0.2258064516129032,0.2258064516129032,0.08870967741935484,0.09090909090909093,0.06451612903225806,1,0,0,Y,B,7H,7,11,3,14,2,3.8,4.2,5,2,5,2,1,0,1,1,47,0.6,NA
nicecrane,0.03703703703703703,0,0.14814814814814814,0.25862068965517243,0.07407407407407407,0,0.03703703703703703,1,Y,B,7H,7,10,1,9,1,3.6,3.2,3,1,4,2,0,0,0,0,26,-0.16666666666666666,0.5
nicedeer,0.04597701149425287,0.03448275862068965,0.11494252873563218,0.3492063492063492,0,0.75,0.01149425287356321,0.25,Y,B,5B,5,14,2,13,1,3,2.6,0,0,5,2,1,0,0,0,47,-0.5,1
nicedonkey,0.03448275862068965,0,0.25287356321839083,0.29508196721311475,0.05747126436781609,0,0.03448275862068965,1,Y,B,7H,7,11,2,9,1,3.8,3.2,5,2,5,2,0,0,0,0,47,-0.4,NA
nicedragon,0.18309859154929575,0.11267605633802816,0.9154929577464788,0.28125,0.23943661971830985,0.6153846153846154,0.07042253521126761,0.38461538461538464,Y,B,5B,5,9,2,12,2,2.6,2.6,0,0,0,0,0,0,0,0,24,0.42857142857142855,0
niceduck,0,0,0,0.05084745762711865,0,NA,0,NA,Y,B,6A,6,15,3,15,3,2,1.8,4,2,4,1,0,1,1,2,47,0,0
niceeagle,0.19540229885057472,0.19540229885057472,0.10344827586206896,0.05263157894736842,0.02298850574712643,1,0,0,Y,B,6A,6,8,1,12,1,2.8,3,4,2,5,2,1,0,0,0,47,0.5,1
