anon_student_id,diagram_use,proactive_use,symbolic_incorrect_rate,diagram_incorrect_rate,hint_use,proactive_use_proportion,reactive_use,reactive_use_proportion,condition,school,class,grade,ck_pre,ck_td_pre,ck,ck_td,survey_pre,survey_ave,pk_pre,pk_td_pre,pk,pk_td,transfer_duse,transfer_eq,transfer_solve,transfer_sum,problems_solved,ck_lg,pk_lg
violetbird,0.16666666666666666,0.1111111111111111,0.2962962962962963,0.1951219512195122,0.5925925925925926,0.6666666666666666,0.05555555555555555,0.3333333333333333,Y,W,P3,7,12,1,10,1,2.2,4,0,0,0,0,1,0,0,0,18,-0.5,0
violetbison,0.1092436974789916,0.0588235294117647,0.40336134453781514,0.3018867924528302,3.1848739495798317,0.5384615384615384,0.05042016806722689,0.4615384615384616,Y,W,P3,7,10,1,7,1,3.6,3.2,0,0,0,0,1,0,0,0,21,-0.5,0
violetcat,0.6363636363636364,0.3636363636363637,0.06818181818181818,0.12280701754385964,0.02272727272727272,0.5714285714285715,0.2727272727272727,0.42857142857142855,Y,W,P3,7,12,1,12,1,3.8,4.4,0,0,3,1,1,0,0,0,16,0,0.6
violetdog,0,0,0.104,0.05084745762711865,0.296,NA,0,NA,Y,W,P4,7,12,1,12,1,1.8,2.4,3,1,5,2,0,0,0,0,31,0,1
violetdragon,0.11320754716981132,0.03773584905660377,2.9245283018867925,4.407407407407407,2.9056603773584904,0.3333333333333333,0.07547169811320756,0.6666666666666667,Y,W,P4,7,9,2,8,1,3,3.6,1,0,2,0,0,0,0,0,14,-0.14285714285714285,0.25
violetduck,0.4886363636363637,0.29545454545454547,0.2840909090909091,0.19230769230769232,0.01136363636363636,0.6046511627906976,0.19318181818181815,0.3953488372093023,Y,W,P4,7,8,1,11,1,3.8,3.4,0,0,4,2,1,0,0,0,28,0.375,0.8
violetfish,0.10526315789473684,0.07017543859649122,0.3157894736842105,0.15625,1.2982456140350878,0.6666666666666666,0.03508771929824561,0.3333333333333333,Y,W,P5,7,9,1,12,1,2.4,2.2,2,1,3,1,0,0,0,0,15,0.42857142857142855,0.3333333333333333
violetgoose,0.7241379310344828,0.4482758620689655,0.27586206896551724,0.2777777777777778,0.3793103448275862,0.6190476190476191,0.27586206896551724,0.380952380952381,Y,W,P5,7,12,1,13,2,3,5,0,0,0,0,1,0,0,0,11,0.25,0
violetlion,0.4444444444444444,0.34444444444444444,0.26666666666666666,0.08737864077669903,0,0.775,0.09999999999999998,0.22499999999999995,Y,W,P7,7,8,1,12,1,2.4,3.2,3,1,5,2,1,0,1,1,47,0.5,1
violetotter,0.4835164835164835,0.27472527472527475,0.06593406593406594,0.10679611650485436,0.03296703296703297,0.5681818181818182,0.20879120879120877,0.43181818181818177,Y,W,P7,7,12,2,11,1,3.2,4,4,1,5,2,0,0,0,0,47,-0.25,1
yellowbat,0.3333333333333333,0.30158730158730157,0.2063492063492063,0.14285714285714285,0.07936507936507936,0.9047619047619048,0.03174603174603174,0.09523809523809525,N,W,P1,7,12,1,12,1,3.8,4,0,0,0,0,1,0,0,0,23,0,0
yellowbee,0.3230769230769231,0.2923076923076923,0.1076923076923077,0.171875,0.2307692307692308,0.9047619047619048,0.03076923076923077,0.09523809523809525,N,W,P1,7,5,1,6,1,3,NA,2,0,0,0,NA,NA,NA,NA,22,0.09090909090909091,-0.6666666666666666
yellowbird,0.3392857142857143,0.25,0.6785714285714286,0.2777777777777778,0.08928571428571429,0.7368421052631579,0.0892857142857143,0.26315789473684215,N,W,P3,7,9,1,9,1,2.8,3.4,2,1,3,1,1,0,0,0,20,0,0.3333333333333333
yellowbison,0.6545454545454545,0.38181818181818183,0.10909090909090909,0.1111111111111111,0.05454545454545454,0.5833333333333334,0.2727272727272727,0.41666666666666663,N,W,P3,7,10,1,8,1,3.2,3.8,0,0,0,0,1,0,0,0,21,-0.3333333333333333,0
yellowdeer,0.6781609195402298,0.3103448275862069,0.5057471264367817,0.07627118644067797,0.20689655172413793,0.45762711864406785,0.367816091954023,0.5423728813559322,N,W,P3,7,12,1,9,1,2.8,4.4,0,0,3,1,1,0,0,0,46,-0.75,0.6
yellowdog,0.11428571428571428,0.08571428571428572,0.6285714285714286,0.06666666666666667,1.5714285714285714,0.75,0.02857142857142856,0.24999999999999997,N,W,P4,7,10,2,8,1,4.4,3.6,1,0,3,1,0,0,0,0,20,-0.3333333333333333,0.5
yellowduck,0.6136363636363636,0.32954545454545453,0.26136363636363635,0.17699115044247787,0.6704545454545454,0.537037037037037,0.2840909090909091,0.462962962962963,N,W,P4,7,8,1,4,2,3,3.4,2,0,0,0,1,0,0,0,39,-0.5,-0.6666666666666666
yelloweagle,0.6057692307692307,0.2980769230769231,0.38461538461538464,0.144,0.8942307692307693,0.4920634920634921,0.30769230769230765,0.5079365079365079,N,W,P4,7,7,2,8,2,2.8,4.6,0,0,0,0,1,0,0,0,28,0.1111111111111111,0
yellowfish,0.4,0.4,0.25,0.5,0.1,1,0,0,N,W,P5,7,9,2,11,1,3.4,2.8,0,0,0,0,1,0,0,0,8,0.2857142857142857,0
yellowfox,0.5352112676056338,0.2676056338028169,0.4788732394366197,0.3625,0.9154929577464788,0.5,0.2676056338028169,0.5,N,W,P5,7,9,1,10,1,2.2,1.6,0,0,0,0,0,0,0,0,22,0.14285714285714285,0
yellowkoala,0.288135593220339,0.15254237288135594,0.2711864406779661,0.4473684210526316,2.7796610169491527,0.5294117647058824,0.13559322033898305,0.4705882352941176,N,W,P5,7,9,1,6,1,2.2,3.2,3,1,2,0,0,0,0,0,14,-0.42857142857142855,-0.5
yellowmonkey,0.41379310344827586,0.3103448275862069,0.09195402298850576,0.01052631578947368,0.04597701149425287,0.75,0.10344827586206896,0.24999999999999997,N,W,P7,7,12,1,12,1,3.4,4.6,5,2,5,2,1,0,0,0,46,0,NA
yellowmouse,0.03448275862068965,0.02758620689655172,0.07586206896551724,0.09230769230769233,0,0.8,0.00689655172413793,0.2,N,W,P7,7,11,1,12,1,3.6,4.2,5,2,5,2,1,0,0,0,32,0.2,NA
yellowotter,0.16129032258064516,0.15053763440860216,0.10752688172043012,0.04838709677419355,0.02150537634408602,0.9333333333333332,0.010752688172043,0.06666666666666661,N,W,P7,7,12,1,12,1,3.8,2.6,3,1,3,1,0,0,0,0,24,0,0
yellowowl,0.25,0.1590909090909091,0.4659090909090909,0.21686746987951808,0.01136363636363636,0.6363636363636364,0.09090909090909093,0.3636363636363637,N,W,P7,7,8,2,10,1,NA,NA,3,0,5,2,1,0,0,0,39,0.25,1
